"","name","artists","daily_rank","country","snapshot_date","popularity","is_explicit","duration_ms","danceability","album_release_date"
"201","Perdonarte, ¿Para Qué?","Los Ángeles Azules, Emilia",1,"UY","6/5/2024",76,FALSE,193933,0.672,"5/23/2024"
"202","HOY","The La Planta",2,"UY","6/5/2024",71,FALSE,177805,0.695,"5/16/2024"
"203","Un Besito Más","Salastkbron, Diel Paris",3,"UY","6/5/2024",77,FALSE,160750,0.693,"3/14/2024"
"204","Ojos Verdes","Nicki Nicole",4,"UY","6/5/2024",78,FALSE,142410,0.582,"4/24/2024"
"205","Santa","Rvssian, Rauw Alejandro, Ayra Starr",5,"UY","6/5/2024",79,FALSE,193038,0.725,"4/3/2024"
"206","Piel","Tiago PZK, Ke Personajes",6,"UY","6/5/2024",84,TRUE,141079,0.646,"2/1/2024"
"207","Mil Preguntas","The La Planta, Luana",7,"UY","6/5/2024",74,FALSE,177375,0.555,"3/7/2024"
"208","APAGA EL CEL","FloyyMenor, Lewis Somes",8,"UY","6/5/2024",80,TRUE,184806,0.696,"5/17/2024"
"209","IMAN (Two Of Us)","Maria Becerra",9,"UY","6/5/2024",75,FALSE,122405,0.8,"5/16/2024"
"210","Gata Only","FloyyMenor, Cris Mj",10,"UY","6/5/2024",97,TRUE,222000,0.791,"2/2/2024"
"211","REAL GANGSTA LOVE","Trueno",11,"UY","6/5/2024",75,TRUE,145342,0.831,"5/23/2024"
"212","BBY BOO - REMIX","iZaak, Jhayco, Anuel AA",12,"UY","6/5/2024",85,TRUE,275862,0.703,"3/27/2024"
"213","BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix","Bhavi, Seven Kayne, Milo j, Tiago PZK, KHEA, Neo Pistea",13,"UY","6/5/2024",83,TRUE,284308,0.728,"4/16/2024"
"214","LUNA","Feid, ATL Jacob",14,"UY","6/5/2024",91,FALSE,196800,0.774,"12/1/2023"
"215","HOLA PERDIDA REMIX","Luck Ra, Maluma, KHEA",15,"UY","6/5/2024",67,FALSE,201030,0.479,"5/31/2024"
"216","La Corriente","LA NUEVA ESCUELA",16,"UY","6/5/2024",53,FALSE,198461,0.738,"4/5/2024"
"217","30 GRADOS","El Turko, Mandale Flow",17,"UY","6/5/2024",77,TRUE,151441,0.676,"1/26/2024"
"218","HOLA PERDIDA","Luck Ra, KHEA",18,"UY","6/5/2024",74,FALSE,166536,0.482,"2/2/2024"
"219","offline","Young Miko, Feid",19,"UY","6/5/2024",87,TRUE,201935,0.794,"4/5/2024"
"220","Tal Para Cual","Salastkbron, Omar Varela",20,"UY","6/5/2024",75,FALSE,151224,0.842,"1/11/2024"
"221","FLECHAZO EN EL CENTRO","YSY A, Bhavi, Milo j",21,"UY","6/5/2024",76,FALSE,185241,0.753,"9/6/2023"
"222","ROZE | DJ TAO Turreo Sessions #22","DJ Tao, Roze Oficial",22,"UY","6/5/2024",73,FALSE,155291,0.814,"11/23/2023"
"223","Una Foto Remix (feat. Emilia)","Mesita, Nicki Nicole, Tiago PZK, Emilia",23,"UY","6/5/2024",83,FALSE,243898,0.76,"1/5/2024"
"224","Ando⧸LolliPop⧸Una Foto⧸Pobre Diabla⧸Si No Le Contesto⧸Regalame Una Noche⧸Perdoname","LA NUEVA ESCUELA",24,"UY","6/5/2024",54,FALSE,212439,0.483,"3/19/2024"
"225","Maquillaje","Renn, Yexel",25,"UY","6/5/2024",82,TRUE,211969,0.739,"1/10/2024"
"226","La Morocha","Luck Ra, BM",26,"UY","6/5/2024",70,FALSE,134144,0.756,"2/2/2024"
"227","SI NO ES CONTIGO","Cris Mj",27,"UY","6/5/2024",82,TRUE,156000,0.763,"5/23/2024"
"228","Bad Boy","Sayian Jimmy, Nysix Music, CamiMusic",28,"UY","6/5/2024",72,TRUE,159101,0.577,"11/10/2023"
"229","QUE ME FALTE TODO","Luck Ra, Abel Pintos",29,"UY","6/5/2024",71,FALSE,165918,0.731,"2/2/2024"
"230","Tu y Yo","LA NUEVA ESCUELA",30,"UY","6/5/2024",53,FALSE,127628,0.569,"12/30/2022"
"231","La_Original.mp3","Emilia, TINI",31,"UY","6/5/2024",78,FALSE,140625,0.833,"11/3/2023"
"232","Diabólica","Cris Mj, Dei V",32,"UY","6/5/2024",78,TRUE,192000,0.725,"11/9/2023"
"233","Inocente","Roze Oficial, Peipper",33,"UY","6/5/2024",71,FALSE,171500,0.615,"12/1/2023"
"234","Por Mil Noches","Airbag",34,"UY","6/5/2024",73,FALSE,283884,0.554,"11/27/2013"
"235","Una Foto","Mesita",35,"UY","6/5/2024",72,FALSE,122500,0.811,"8/15/2023"
"236","A PRUEBA DE BALAS","The La Planta, Pushi",36,"UY","6/5/2024",66,FALSE,162005,0.827,"3/8/2024"
"237","SINVERGÜENZA - con Angela Torres","Emanero, Karina, j mena, Angela Torres",37,"UY","6/5/2024",72,FALSE,217490,0.764,"12/5/2023"
"238","Ni Una Ni Dos","BM",38,"UY","6/5/2024",70,TRUE,158535,0.777,"6/28/2023"
"239","Exclusive.mp3","Emilia",39,"UY","6/5/2024",76,FALSE,120600,0.858,"11/3/2023"
"240","M.A.I","Milo j",40,"UY","6/5/2024",81,FALSE,184027,0.364,"11/30/2023"
"241","Sin Querer","Fer Vazquez, Flor Alvarez",41,"UY","6/5/2024",72,TRUE,141071,0.715,"12/14/2023"
"242","Que Dolor","LA NUEVA ESCUELA",42,"UY","6/5/2024",52,FALSE,181745,0.61,"2/1/2023"
"243","La Victima","LA NUEVA ESCUELA",43,"UY","6/5/2024",48,FALSE,178652,0.772,"5/2/2024"
"244","Funk Rave","Anitta",44,"UY","6/5/2024",67,TRUE,147201,0.879,"4/26/2024"
"245","TE AMO ♡","Fer Vazquez, Flor Alvarez",45,"UY","6/5/2024",68,FALSE,153500,0.747,"4/30/2024"
"246","Tu Foto - En Vivo","Q' Lokura, Valentino Merlo",46,"UY","6/5/2024",72,FALSE,180385,0.561,"5/16/2024"
"247","Tumba","Thomy DJ",47,"UY","6/5/2024",70,FALSE,180543,0.871,"8/19/2023"
"248","Rara Vez","Taiu, Milo j",48,"UY","6/5/2024",81,FALSE,128677,0.838,"2/8/2023"
"249","GAFITA Y CHOMBA","Ponte Perro, Kaleb Di Masi",49,"UY","6/5/2024",72,FALSE,192000,0.929,"1/18/2024"
"250","Hoy","Valentino Merlo, The La Planta",50,"UY","6/5/2024",61,FALSE,198495,0.451,"5/22/2024"
"251","MILLION DOLLAR BABY","Tommy Richman",1,"US","6/5/2024",3,FALSE,155151,0.852,"4/26/2024"
"252","I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen",2,"US","6/5/2024",96,TRUE,178205,0.638,"5/10/2024"
"253","BIRDS OF A FEATHER","Billie Eilish",3,"US","6/5/2024",95,FALSE,210373,0.747,"5/17/2024"
"254","Not Like Us","Kendrick Lamar",4,"US","6/5/2024",97,TRUE,274192,0.898,"5/4/2024"
"255","Houdini","Eminem",5,"US","6/5/2024",87,TRUE,227239,0.936,"5/31/2024"
"256","Espresso","Sabrina Carpenter",6,"US","6/5/2024",99,TRUE,175459,0.701,"4/12/2024"
"257","A Bar Song (Tipsy)","Shaboozey",7,"US","6/5/2024",66,TRUE,171291,0.722,"5/31/2024"
"258","LUNCH","Billie Eilish",8,"US","6/5/2024",96,FALSE,179586,0.893,"5/17/2024"
"259","Pink Skies","Zach Bryan",9,"US","6/5/2024",86,FALSE,194920,0.525,"5/24/2024"
"260","Too Sweet","Hozier",10,"US","6/5/2024",90,FALSE,251424,0.741,"3/22/2024"
"261","BAND4BAND (feat. Lil Baby)","Central Cee, Lil Baby",11,"US","6/5/2024",88,TRUE,140733,0.882,"5/23/2024"
"262","Good Luck, Babe!","Chappell Roan",12,"US","6/5/2024",91,FALSE,218423,0.7,"4/5/2024"
"263","CHIHIRO","Billie Eilish",13,"US","6/5/2024",94,FALSE,303440,0.7,"5/17/2024"
"264","Like That","Future, Metro Boomin, Kendrick Lamar",14,"US","6/5/2024",93,TRUE,267706,0.814,"3/22/2024"
"265","Beautiful Things","Benson Boone",15,"US","6/5/2024",91,FALSE,180304,0.472,"4/5/2024"
"266","Fortnight (feat. Post Malone)","Taylor Swift, Post Malone",16,"US","6/5/2024",94,FALSE,228965,0.504,"4/18/2024"
"267","i like the way you kiss me","Artemas",17,"US","6/5/2024",97,FALSE,142514,0.599,"3/19/2024"
"268","WILDFLOWER","Billie Eilish",18,"US","6/5/2024",91,FALSE,261466,0.467,"5/17/2024"
"269","one of wun","Gunna",19,"US","6/5/2024",85,TRUE,144000,0.915,"5/10/2024"
"270","I Remember Everything (feat. Kacey Musgraves)","Zach Bryan, Kacey Musgraves",20,"US","6/5/2024",89,FALSE,227195,0.429,"8/25/2023"
"271","Lose Control","Teddy Swims",21,"US","6/5/2024",91,FALSE,210688,0.561,"9/15/2023"
"272","I Can Do It With a Broken Heart","Taylor Swift",22,"US","6/5/2024",89,TRUE,218004,0.701,"4/18/2024"
"273","Stargazing","Myles Smith",23,"US","6/5/2024",90,FALSE,172533,0.635,"5/10/2024"
"274","Stick Season","Noah Kahan",24,"US","6/5/2024",91,FALSE,182346,0.664,"10/14/2022"
"275","Austin (Boots Stop Workin')","Dasha",25,"US","6/5/2024",91,TRUE,171782,0.756,"2/16/2024"
"276","euphoria","Kendrick Lamar",26,"US","6/5/2024",92,TRUE,383639,0.831,"4/30/2024"
"277","Gata Only","FloyyMenor, Cris Mj",27,"US","6/5/2024",97,TRUE,222000,0.791,"2/2/2024"
"278","we can't be friends (wait for your love)","Ariana Grande",28,"US","6/5/2024",92,FALSE,228639,0.645,"3/8/2024"
"279","Slow It Down","Benson Boone",29,"US","6/5/2024",89,FALSE,161831,0.432,"4/5/2024"
"280","Type Shit","Future, Metro Boomin, Travis Scott, Playboi Carti",30,"US","6/5/2024",89,TRUE,228266,0.64,"3/22/2024"
"281","Cowgirls (feat. ERNEST)","Morgan Wallen, ERNEST",31,"US","6/5/2024",85,FALSE,181621,0.621,"3/3/2023"
"282","End of Beginning","Djo",32,"US","6/5/2024",95,FALSE,159245,0.689,"9/16/2022"
"283","Last Night","Morgan Wallen",33,"US","6/5/2024",84,TRUE,163854,0.492,"3/3/2023"
